IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,false,,,,,,,,,,,,,15.02,,,,,,15.02,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,DNK,Denmark,Year,2022,false,,,,,,,,,,,,,15.13,,,,,,15.13,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2022,false,,,,,,,,,,,,,15.44,,,,,,15.44,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2022,false,,,,,,,,,,,,,16.73,,,,,,16.73,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,BLR,Belarus,Year,2022,false,,,,,,,,,,,,,16.77,,,,,,16.77,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2022,false,,,,,,,,,,,,,16.89,,,,,,16.89,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,CZE,Czechia,Year,2022,false,,,,,,,,,,,,,17.31,,,,,,17.31,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,ISL,Iceland,Year,2022,false,,,,,,,,,,,,,18.02,,,,,,18.02,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AMR,Americas,Country,COL,Colombia,Year,2022,false,,,,,,,,,,,,,18.38,,,,,,18.38,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,false,,,,,,,,,,,,,18.6,,,,,,18.6,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2022,false,,,,,,,,,,,,,18.6,,,,,,18.6,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,PRT,Portugal,Year,2022,false,,,,,,,,,,,,,18.86,,,,,,18.86,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2022,false,,,,,,,,,,,,,19.67,,,,,,19.67,,For antibiotics: only J01 and P01AB reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,GEO,Georgia,Year,2022,false,,,,,,,,,,,,,19.88,,,,,,19.88,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2022,false,,,,,,,,,,,,,20.1,,,,,,20.1,,For antibiotics: only J01 and P01AB reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,HRV,Croatia,Year,2022,false,,,,,,,,,,,,,20.42,,,,,,20.42,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,BEL,Belgium,Year,2022,false,,,,,,,,,,,,,20.68,,,,,,20.68,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2022,false,,,,,,,,,,,,,20.97,,,,,,20.97,,,EN,2025-09-23T20:30:00.000Z
